Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Status Category,Status Category Changed

!SFG2.PNG|width=793,height=619,alt=""SFG2.PNG""!",To Do,24/Feb/25 12:15 PM
In item wise stock listing report > location is missing ,SFG-13,10277,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,23/Feb/25 4:06 PM,11/Mar/25 3:17 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 3:17 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG6.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10405,23/Feb/25 4:05 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_31.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10244,,,,,,,,,,,,,,,,,,0|i001pb:,,,,,,,,,,,,2025-03-11 09:17:47.254,,"11/Mar/25 3:17 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Some Item Code have no location. See this screen

!SFG6.PNG|width=666,height=418,alt=""SFG6.PNG""!",To Do,23/Feb/25 4:06 PM
Costing Details Report > Report is not properly aligned ,SFG-12,10276,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,23/Feb/25 1:25 PM,11/Mar/25 3:21 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,23/Feb/25 1:25 PM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_30.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10243,,,,,,,,,,,,,,,,,,,0|i001p3:,,,,,,,,,,,,2025-03-11 09:21:42.639,,11/Mar/25 3:21 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;Costing Details Report have no modification. this report no more used.,To Do,23/Feb/25 1:25 PM
Daily Validation Report is showing run time error and automatic closes the software ,SFG-11,10275,Bug,To Do,SFG,Semi Finished Goods,software,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,23/Feb/25 8:28 AM,11/Mar/25 3:29 PM,,,,0,,,Naturub IT Support,Naturub Software Development,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,712020:019279b3-019e-4434-b3d0-e8f7fccd8d78,,,,,,,,,11/Mar/25 3:29 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG7.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10406,11/Mar/25 3:29 PM;889a8292-cc0c-464c-8f57-f0bdbf1e65c7;SFG8.PNG;https://naturub.atlassian.net/rest/api/3/attachment/content/10407,23/Feb/25 8:28 AM;6b0099bc-57b0-49a0-9cce-4d6a73c0b1c6;Screenshot_29.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10242,,,,,,,,,,,,,,,,,0|i001ov:,,,,,,,,,,,,2025-03-11 09:29:25.13,,"11/Mar/25 3:29 PM;712020:019279b3-019e-4434-b3d0-e8f7fccd8d78;* It is your Environment Problem, Category Wise Data show. See this screen 

!SFG7.PNG|width=629,height=443,alt=""SFG7.PNG""!

